stateProvince,n_records_full,species_richness_full,n_records_thin,species_richness_thin,retention_pct,richness_retention_pct
Anuradhapura,44755,237,127,77,0.2837671768517484,32.48945147679325
Ratnapura,116834,301,127,70,0.10870123422976188,23.25581395348837
Kurunegala,36438,219,131,70,0.35951479224984906,31.963470319634702
Puttalam,44845,283,107,67,0.23859962091649015,23.674911660777386
Monaragala,68731,281,95,65,0.1382200171683811,23.131672597864767
Hambantota,161216,329,89,62,0.055205438666137356,18.84498480243161
Badulla,43420,198,77,62,0.1773376324274528,31.31313131313131
Nuwara,57376,251,79,54,0.1376882320133854,21.51394422310757
Kalutara,49765,227,78,52,0.15673666231287048,22.90748898678414
Matale,52327,268,68,49,0.12995203241156572,18.28358208955224
Ampara,7433,229,63,49,0.8475716399838558,21.397379912663755
Galle,59162,259,74,48,0.12508028802271728,18.53281853281853
Kegalla,57108,220,70,48,0.12257477061007215,21.818181818181817
Gampaha,179526,303,66,46,0.036763477156512146,15.181518151815181
Kandy,38433,240,68,45,0.1769312830119949,18.75
Matara,123577,299,64,43,0.05178957249326331,14.381270903010034
Jaffna,24035,230,61,42,0.25379654670272517,18.26086956521739
Polonnaruwa,10423,206,57,41,0.5468675045572292,19.902912621359224
Trincomalee,12153,224,58,39,0.47724841602896406,17.410714285714285
Mannar,63446,304,46,34,0.07250260063676198,11.18421052631579
Colombo,289337,280,41,32,0.014170327334561429,11.428571428571429
Kilinochchi,3476,194,40,32,1.1507479861910241,16.49484536082474
Batticaloa,3924,172,35,27,0.891946992864424,15.69767441860465
Mullaittivu,2514,183,31,26,1.2330946698488465,14.207650273224044
Vavuniya,1794,154,25,22,1.3935340022296545,14.285714285714286
