verbatimScientificName,guild
Accipiter nisus,Carnivore
Acridotheres tristis,Omnivore
Acritillas indica,Omnivore
Acrocephalus bistrigiceps,Invertivore
Acrocephalus dumetorum,Invertivore
Acrocephalus stentoreus,Invertivore
Actitis hypoleucos,Aquatic predator
Aegithina nigrolutea,Invertivore
Aegithina tiphia,Invertivore
Aerodramus unicolor,Invertivore
Agropsar sturninus,Invertivore
Alauda gulgula,Omnivore
Alcedo atthis,Aquatic predator
Alcedo meninting,Aquatic predator
Amaurornis phoenicurus,Aquatic predator
Anarhynchus alexandrinus,Unknown
Anarhynchus asiaticus,Unknown
Anarhynchus atrifrons,Unknown
Anarhynchus leschenaultii,Unknown
Anas acuta,Herbivore aquatic
Anas crecca,Herbivore aquatic
Anas platyrhynchos,Herbivore aquatic
Anas poecilorhyncha,Herbivore aquatic
Anastomus oscitans,Aquatic predator
Anhinga melanogaster,Aquatic predator
Anous stolidus,Aquatic predator
Anous tenuirostris,Aquatic predator
Anser indicus,Herbivore terrestrial
Anthracoceros coronatus,Frugivore
Anthus cervinus,Invertivore
Anthus godlewskii,Invertivore
Anthus richardi,Invertivore
Anthus rufulus,Invertivore
Anthus trivialis,Invertivore
Apus affinis,Invertivore
Apus apus,Invertivore
Apus leuconyx,Unknown
Ardea alba,Aquatic predator
Ardea cinerea,Aquatic predator
Ardea coromanda,Unknown
Ardea intermedia,Aquatic predator
Ardea purpurea,Aquatic predator
Ardenna carneipes,Aquatic predator
Ardenna pacifica,Aquatic predator
Ardenna tenuirostris,Aquatic predator
Ardeola bacchus,Aquatic predator
Ardeola grayii,Aquatic predator
Arenaria interpres,Aquatic predator
Argya affinis,Unknown
Argya cinereifrons,Unknown
Argya rufescens,Unknown
Artamus fuscus,Invertivore
Asio flammeus,Carnivore
Aviceda jerdoni,Omnivore
Aythya nyroca,Herbivore aquatic
Batrachostomus moniliger,Invertivore
Botaurus cinnamomeus,Unknown
Botaurus eurhythmus,Unknown
Botaurus flavicollis,Unknown
Botaurus sinensis,Unknown
Bulweria bulwerii,Aquatic predator
Burhinus indicus,Invertivore
Buteo buteo,Carnivore
Buteo refectus,Carnivore
Buteo rufinus,Carnivore
Butorides striata,Aquatic predator
Cacomantis passerinus,Invertivore
Cacomantis sonneratii,Invertivore
Cairina moschata,Omnivore
Calandrella dukhunensis,Omnivore
Calidris acuminata,Aquatic predator
Calidris alba,Aquatic predator
Calidris canutus,Aquatic predator
Calidris falcinellus,Aquatic predator
Calidris ferruginea,Aquatic predator
Calidris melanotos,Aquatic predator
Calidris minuta,Aquatic predator
Calidris pugnax,Aquatic predator
Calidris ruficollis,Aquatic predator
Calidris subminuta,Aquatic predator
Calidris temminckii,Aquatic predator
Calidris tenuirostris,Aquatic predator
Caprimulgus asiaticus,Invertivore
Caprimulgus atripennis,Invertivore
Caprimulgus indicus,Invertivore
Carpodacus erythrinus,Granivore
Cecropis daurica,Invertivore
Cecropis hyperythra,Invertivore
Centropus chlororhynchos,Invertivore
Centropus sinensis,Carnivore
Ceryle rudis,Aquatic predator
Ceyx erithaca,Invertivore
Chalcophaps indica,Omnivore
Charadrius hiaticula,Aquatic predator
Chlidonias hybrida,Aquatic predator
Chlidonias leucopterus,Aquatic predator
Chloropsis aurifrons,Omnivore
Chloropsis jerdoni,Omnivore
Chroicocephalus brunnicephalus,Unknown
Chroicocephalus genei,Unknown
Chroicocephalus ridibundus,Unknown
Chrysocolaptes festivus,Invertivore
Chrysocolaptes stricklandi,Invertivore
Chrysomma sinense,Invertivore
Ciconia ciconia,Omnivore
Ciconia episcopus,Aquatic predator
Cinnyris asiaticus,Omnivore
Cinnyris lotenius,Nectarivore
Circus aeruginosus,Carnivore
Circus macrourus,Carnivore
Circus melanoleucos,Carnivore
Circus pygargus,Carnivore
Circus spilonotus,Carnivore
Cisticola juncidis,Invertivore
Clamator coromandus,Invertivore
Clamator jacobinus,Invertivore
Clanga clanga,Carnivore
Columba livia,Granivore
Columba torringtoniae,Frugivore
Copsychus fulicatus,Unknown
Copsychus leggei,Unknown
Copsychus saularis,Invertivore
Coracias benghalensis,Omnivore
Coracina macei,Invertivore
Corvus macrorhynchos,Omnivore
Corvus splendens,Omnivore
Coturnix coromandelica,Granivore
Cuculus canorus,Invertivore
Cuculus micropterus,Invertivore
Cuculus poliocephalus,Invertivore
Culicicapa ceylonensis,Invertivore
Curruca curruca,Unknown
Cursorius coromandelicus,Invertivore
